"ID","Literature_ID","Nodes_ID","Edges_ID","Pertains_To","Pages"
"808","72","5",NULL,,"32"
"810","38","261",NULL,,"p. 34"
"812","38","265",NULL,,"p. 35"
"814","74","265",NULL,,"p. 29"
"816","38","710",NULL,,"72f."
"818","48","718",NULL,,"99"
"820","38","273",NULL,,"p. 35"
"822","38","728",NULL,,"74"
"824","38","285",NULL,,"p. 37"
"828","38","295",NULL,,"p. 37 f."
"830","38","753",NULL,,"75f."
"832","38","755",NULL,,"76"
"834","74","758",NULL,,"78f."
"836","66","298",NULL,,"38-39"
"838","38","757",NULL,,"76"
"840","38","301",NULL,,"p. 38"
"842","62","305",NULL,,"23"
"844","38","306",NULL,,"p. 39"
"846","62","307",NULL,,"25"
"848","118","769",NULL,,"39"
"852","152","2778",NULL,"staple","34"
"856","38","317",NULL,,"p. 40"
"858","38","322",NULL,,"p. 40"
"860","38","332",NULL,,"p. 41"
"862","38","777",NULL,,"46"
"864","38","778",NULL,,"77"
"866","96","778",NULL,,"40f."
"870","38","784",NULL,,"77f."
"872","66","331",NULL,,"43"
"874","38","792",NULL,,"78"
"876","38","338",NULL,,"p. 41"
"878","38","817",NULL,,"79"
"880","38","826",NULL,,"80"
"882","38","830",NULL,,"80"
"884","74","832",NULL,,"82"
"886","38","839",NULL,,"81"
"888","38","848",NULL,,"81"
"890","66","860",NULL,,"73"
"892","156","861",NULL,,"37-38"
"894","48","862",NULL,,"101"
"896","62","864",NULL,,"61"
"902","126","8885",NULL,"tolls",
"906","126","8045",NULL,"tolls",
"910","38","346",NULL,,"p. 42f."
"912","38","8924",NULL,,"490"
"916","38","8045",NULL,,"644"
"918","38","351",NULL,,"43-44"
"920","126","5901",NULL,"tolls",
"922","38","5901",NULL,"tolls","483"
"924","38","5901",NULL,,"483"
"930","30","4958",NULL,,"84"
"932","38","4958",NULL,,"406"
"934","38","8925",NULL,,"603"
"936","126","8925",NULL,"tolls",
"938","126","8926",NULL,"tolls",
"942","38","5398",NULL,,"449"
"946","126","8927",NULL,"tolls",
"948","38","1159",NULL,,"p. 107"
"950","38","1160",NULL,,"p. 107"
"952","126","8928",NULL,"tolls",
"954","126","8929",NULL,"tolls",
"956","72","1163",NULL,,"223"
"958","38","1164",NULL,,"p. 464"
"960","38","1165",NULL,,"p. 108"
"962","38","1166",NULL,,"p. 132"
"964","126","8930",NULL,"tolls",
"966","158","8930",NULL,"tolls","28-29, 35-37, 101-135"
"968","62","892",NULL,,"64-65"
"970","70","6",NULL,,"71"
"972","160","910",NULL,,"52"
"976","60","2778",NULL,,"164-169"
"980","38","917",NULL,,"84"
"982","38","922",NULL,,"84"
"984","162","4958",NULL,,"247-251"
"986","38","923",NULL,,"85"
"988","162","8045",NULL,"tolls","354"
"990","162","8045",NULL,,"353-355"
"992","38","928",NULL,,"85"
"994","38","942",NULL,,"87"
